Word,PartsOfSpeech,Meaning
Adobe,n.,"An unburnt brick dried in the sun; also used as an adjective, as, an adobe house, in Texas or New Mexico."
Adoor,,Alt. of Adoors
Adopt,v. t.,"To take by choice into relationship, as, child, heir, friend, citizen, etc.; esp. to take voluntarily (a child of other parents) to be in the place of, or as, one's own child."
Adore,v. t.,To worship with profound reverence; to pay divine honors to; to honor as deity or as divine.
Adorn,v. t.,To deck or dress with ornaments; to embellish; to set off to advantage; to render pleasing or attractive.
Adown,adv.,"From a higher to a lower situation; downward; down, to or on the ground."
Adrad,p. a.,Put in dread; afraid.
Adrip,adv. & a.,"In a dripping state; as, leaves all adrip."
Adult,a.,"Having arrived at maturity, or to full size and strength; matured; as, an adult person or plant; an adult ape; an adult age."
Adunc,a.,Alt. of Adunque
Adure,v. t.,To burn up.
Adust,a.,Inflamed or scorched; fiery.
Adyta,pl. ,of Adytum
Aegis,n.,A shield or protective armor; -- applied in mythology to the shield of Jupiter which he gave to Minerva. Also fig.: A shield; a protection.
Aerie,n.,"The nest of a bird of prey, as of an eagle or hawk; also a brood of such birds; eyrie. Shak. Also fig.: A human residence or resting place perched like an eagle's nest."
Aero-,,The combining form of the Greek word meaning air.
Affix,v. t.,"To subjoin, annex, or add at the close or end; to append to; to fix to any part of; as, to affix a syllable to a word; to affix a seal to an instrument; to affix one's name to a writing."
Afire,adv. & a.,On fire.
Aflat,adv.,Level with the ground; flat.
Aflow,adv. & a.,Flowing.
Afoam,adv. & a.,"In a foaming state; as, the sea is all afoam."
Afoot,adv.,On foot.
Afore,adv.,Before.
Afoul,adv. & a.,In collision; entangled.
Afric,a.,African.
Afrit,n.,Alt. of Afreet
After,a.,"Next; later in time; subsequent; succeeding; as, an after period of life."
Again,adv.,"In return, back; as, bring us word again."
Agama,n.,"A genus of lizards, one of the few which feed upon vegetable substances; also, one of these lizards."
Agami,n.,"A South American bird (Psophia crepitans), allied to the cranes, and easily domesticated; -- called also the gold-breasted trumpeter. Its body is about the size of the pheasant. See Trumpeter."
Agape,adv. & a.,"Gaping, as with wonder, expectation, or eager attention."
Agasp,adv. & a.,In a state of gasping.
Agast,v. t.,Alt. of Aghast
Agate,adv.,"On the way; agoing; as, to be agate; to set the bells agate."
Agaty,a.,"Of the nature of agate, or containing agate."
Agave,n.,A genus of plants (order Amaryllidaceae) 
Aging,p. pr. & vb. n.,of Age
Agend,n.,See Agendum.
Agent,a.,"Acting; -- opposed to patient, or sustaining, action."
Agger,n.,An earthwork; a mound; a raised work.
Aggry,a.,Alt. of Aggri
Aggri,a.,"Applied to a kind of variegated glass beads of ancient manufacture; as, aggry beads are found in Ashantee and Fantee in Africa."
Agile,a.,"Having the faculty of quick motion in the limbs; apt or ready to move; nimble; active; as, an agile boy; an agile tongue."
Agios,pl. ,of Agio
Agist,v. t.,"To take to graze or pasture, at a certain sum; -- used originally of the feeding of cattle in the king's forests, and collecting the money for the same."
Aglet,n.,Alt. of Aiglet
Agley,adv.,Aside; askew.
Aglow,adv. & a.,"In a glow; glowing; as, cheeks aglow; the landscape all aglow."
Agnus,n.,Agnus Dei.
Agone,a. & adv.,Ago.
Agony,n.,Violent contest or striving.
Agood,adv.,In earnest; heartily.
Agora,n.,"An assembly; hence, the place of assembly, especially the market place, in an ancient Greek city."
Agree,adv.,In good part; kindly.
Agrin,adv. & a.,In the act of grinning.
Agrom,n.,"A disease occurring in Bengal and other parts of the East Indies, in which the tongue chaps and cleaves."
Agued,imp. & p. p.,of Ague
Agush,adv. & a.,In a gushing state.
Ahead,adv.,In or to the front; in advance; onward.
Aheap,adv.,In a heap; huddled together.
Ahigh,adv.,On high.
Ahold,adv.,"Near the wind; as, to lay a ship ahold."
Ahull,adv.,"With the sails furled, and the helm lashed alee; -- applied to ships in a storm. See Hull, n."
Aided,imp. & p. p.,of Aid
Aider,n.,"One who, or that which, aids."
Aigre,a.,Sour.
Ailed,imp. & p. p.,of Ail
Aimed,imp. & p. p.,of Aim
Aimer,n.,"One who aims, directs, or points."
Ain't,,A contraction for are not and am not; also used for is not. [Colloq. or illiterate speech]. See An't.
Aired,imp. & p. p.,of Air
Airer,n.,One who exposes to the air.
Aisle,n.,"A lateral division of a building, separated from the middle part, called the nave, by a row of columns or piers, which support the roof or an upper wall containing windows, called the clearstory wall."
Aitch,n.,The letter h or H.
Akene,n.,Same as Achene.
Aknee,adv.,On the knee.
Aknow,,Earlier form of Acknow.
Alack,interj.,An exclamation expressive of sorrow.
Aland,adv.,On land; to the land; ashore.
Alarm,n.,"A summons to arms, as on the approach of an enemy."
Alary,a.,"Of or pertaining to wings; also, wing-shaped."
Alate,adv.,Lately; of late.
Alban,n.,A white crystalline resinous substance extracted from gutta-percha by the action of alcohol or ether.
Albee,conj.,Although; albeit.
Album,n.,"A white tablet on which anything was inscribed, as a list of names, etc."
Albyn,n.,Scotland; esp. the Highlands of Scotland.
Alday,adv.,Continually.
Alder,n.,"A tree, usually growing in moist land, and belonging to the genus Alnus. The wood is used by turners, etc.; the bark by dyers and tanners. In the U. S. the species of alder are usually shrubs or small trees."
Aller,a.,"Of all; -- used in composition; as, alderbest, best of all, alderwisest, wisest of all."
Aleak,adv. & a.,In a leaking condition.
Alert,a.,Watchful; vigilant; active in vigilance.
Alfet,n.,A caldron of boiling water into which an accused person plunged his forearm as a test of innocence or guilt.
Algae,pl. ,of Alga
Algal,a.,"Pertaining to, or like, algae."
Algid,a.,Cold; chilly.
Algol,n.,"A fixed star, in Medusa's head, in the constellation Perseus, remarkable for its periodic variation in brightness."
Algor,n.,Cold; chilliness.
Algum,n.,Same as Almug (and etymologically preferable).
Alias,adv.,"Otherwise; otherwise called; -- a term used in legal proceedings to connect the different names of any one who has gone by two or more, and whose true name is for any cause doubtful; as, Smith, alias Simpson."
Alibi,n.,"The plea or mode of defense under which a person on trial for a crime proves or attempts to prove that he was in another place when the alleged act was committed; as, to set up an alibi; to prove an alibi."
Alien,a.,"Not belonging to the same country, land, or government, or to the citizens or subjects thereof; foreign; as, alien subjects, enemies, property, shores."
Alife,adv.,On my life; dearly.
Align,v. t.,To adjust or form to a line; to range or form in line; to bring into line; to aline.
Alike,a.,Having resemblance or similitude; similar; without difference.
Aline,v. t.,To range or place in a line; to bring into line; to align.
Alish,a.,"Like ale; as, an alish taste."
Alive,a.,"Having life, in opposition to dead; living; being in a state in which the organs perform their functions; as, an animal or a plant which is alive."
Allah,n.,"The name of the Supreme Being, in use among the Arabs and the Mohammedans generally."
Allay,v. t.,"To make quiet or put at rest; to pacify or appease; to quell; to calm; as, to allay popular excitement; to allay the tumult of the passions."
Alley,n.,"A narrow passage; especially a walk or passage in a garden or park, bordered by rows of trees or bushes; a bordered way."
Allis,n.,The European shad (Clupea vulgaris); allice shad. See Alose.
Allod,n.,See Allodium.
Alloo,v. t. / i.,To incite dogs by a call; to halloo.
Allot,v. t.,To distribute by lot.
Allow,v. t.,"To praise; to approve of; hence, to sanction."
Alloy,v. t.,"Any combination or compound of metals fused together; a mixture of metals; for example, brass, which is an alloy of copper and zinc. But when mercury is one of the metals, the compound is called an amalgam."
Allyl,n.,"An organic radical, C3H5, existing especially in oils of garlic and mustard."
Almah,n.,Same as Alme.
Alman,n.,A German.
Almeh,n.,An Egyptian dancing girl; an Alma.
Almry,n.,See Almonry.
Almug,n.,Alt. of Algum
Aloes,pl. ,of Aloe
Aloft,adv.,On high; in the air; high above the ground.
Alogy,n.,Unreasonableness; absurdity.
Aloin,n.,A bitter purgative principle in aloes.
Alone,a.,"Quite by one's self; apart from, or exclusive of, others; single; solitary; -- applied to a person or thing."
Along,adv.,By the length; in a line with the length; lengthwise.
Aloof,n.,Same as Alewife.
Alose,v. t.,To praise.
Aloud,adv.,"With a loud voice, or great noise; loudly; audibly."
Alpen,a.,Of or pertaining to the Alps.
Alpha,n.,"The first letter in the Greek alphabet, answering to A, and hence used to denote the beginning."
Alpia,n.,"The seed of canary grass (Phalaris Canariensis), used for feeding cage birds."
Altar,n.,A raised structure (as a square or oblong erection of stone or wood) on which sacrifices are offered or incense burned to a deity.
Alter,v. t.,"To make otherwise; to change in some respect, either partially or wholly; to vary; to modify."
Altho,conj.,Although.
Altos,pl. ,of Alto
Alula,n.,A false or bastard wing. See under Bastard.
Alure,n.,A walk or passage; -- applied to passages of various kinds.
Alvei,pl. ,of Alveus
Alway,adv.,Always.
Amain,n.,With might; with full force; vigorously; violently; exceedingly.
Amass,v. t.,"To collect into a mass or heap; to gather a great quantity of; to accumulate; as, to amass a treasure or a fortune; to amass words or phrases."
Amate,v. t.,To dismay; to dishearten; to daunt.
Amaze,v. t.,To bewilder; to stupefy; to bring into a maze.
Ambi-,,"A prefix meaning about, around; -- used in words derived from the Latin."
Amber,n.,"A yellowish translucent resin resembling copal, found as a fossil in alluvial soils, with beds of lignite, or on the seashore in many places. It takes a fine polish, and is used for pipe mouthpieces, beads, etc., and as a basis for a fine varnish. By friction, it becomes strongly electric."
Babel,n.,"The city and tower in the land of Shinar, where the confusion of languages took place."
Baboo,n.,Alt. of Babu
Backs,n.  pl.,"Among leather dealers, the thickest and stoutest tanned hides."
Bacon,n.,"The back and sides of a pig salted and smoked; formerly, the flesh of a pig salted or fresh."
Badge,n.,"A distinctive mark, token, sign, or cognizance, worn on the person; as, the badge of a society; the badge of a policeman."
Caaba,n.,"The small and nearly cubical stone building, toward which all Mohammedans must pray."
Cabal,n.,Tradition; occult doctrine. See Cabala
Cabas,n.,"A flat basket or frail for figs, etc.; hence, a lady's flat workbasket, reticule, or hand bag; -- often written caba."
Caber,n.,A pole or beam used in Scottish games for tossing as a trial of strength.
Cabin,n.,A cottage or small house; a hut.
Cable,n.,"A large, strong rope or chain, of considerable length, used to retain a vessel at anchor, and for other purposes. It is made of hemp, of steel wire, or of iron links."
Cabob,n.,A small piece of mutton or other meat roasted on a skewer; -- so called in Turkey and Persia.
Cacao,n.,"A small evergreen tree (Theobroma Cacao) of South America and the West Indies. Its fruit contains an edible pulp, inclosing seeds about the size of an almond, from which cocoa, chocolate, and broma are prepared."
Cache,n.,"A hole in the ground, or hiding place, for concealing and preserving provisions which it is inconvenient to carry."
Cacti,pl. ,of Cactus
Caddy,n.,"A small box, can, or chest to keep tea in."
Cader,n.,See Cadre.
Cadet,n.,The younger of two brothers; a younger brother or son; the youngest son.
Cadew,n.,Alt. of Cadeworm
Cadge,v. t. & i.,"To carry, as a burden."
Cadgy,a.,"Cheerful or mirthful, as after good eating or drinking; also, wanton."
Cadie,n.,Alt. of Caddie
Cadis,n.,A kind of coarse serge.
Cadre,n.,The framework or skeleton upon which a regiment is to be formed; the officers of a regiment forming the staff.
Caeca,n. pl.,See Caecum.
Caged,imp. & p. p.,of Cage
Cagit,n.,"A kind of parrot, of a beautiful green color, found in the Philippine Islands."
Cagot,n.,"One of a race inhabiting the valleys of the Pyrenees, who until 1793 were political and social outcasts (Christian Pariahs). They are supposed to be a remnant of the Visigoths."
Caird,n.,A traveling tinker; also a tramp or sturdy beggar.
Cairn,n.,"A rounded or conical heap of stones erected by early inhabitants of the British Isles, apparently as a sepulchral monument."
Caked,imp. & p. p.,of Cake
Calid,a.,Hot; burning; ardent.
Calif,n.,Alt. of Califate
Calin,n.,"An alloy of lead and tin, of which the Chinese make tea canisters."
Calix,n.,A cup. See Calyx.
Calla,n.,"A genus of plants, of the order Araceae."
Calle,n.,A kind of head covering; a caul.
Calmy,n.,Tranquil; peaceful; calm.
Eager,a.,Sharp; sour; acid.
Eagle,n.,"Any large, rapacious bird of the Falcon family, esp. of the genera Aquila and Haliaeetus. "
Eagre,n.,"A wave, or two or three successive waves, of great height and violence, at flood tide moving up an estuary or river; -- commonly called the bore. See Bore."
Eared,imp. & p. p.,of Ear
Earal,a.,Receiving by the ear.
Early,adv.,"Soon; in good season; seasonably; betimes; as, come early."
Earsh,n.,See Arrish.
Earst,adv.,See Erst.
Earth,n.,"The globe or planet which we inhabit; the world, in distinction from the sun, moon, or stars. Also, this world as the dwelling place of mortals, in distinction from the dwelling place of spirits."
Eased,imp. & p. p.,of Ease
Easel,n.,"A frame (commonly) of wood serving to hold a canvas upright, or nearly upright, for the painter's convenience or for exhibition."
Eaten,p. p.,of Eat
Eater,n.,"One who, or that which, eats."
Eaves,n. pl.,"The edges or lower borders of the roof of a building, which overhang the walls, and cast off the water that falls on the roof."
Ebbed,imp. & p. p.,of Ebb
Eblis,n.,The prince of the evil spirits; Satan.
Ebony,n.,"A hard, heavy, and durable wood, which admits of a fine polish or gloss. The usual color is black, but it also occurs red or green."
Eccle,n.,"The European green woodpecker; -- also called ecall, eaquall, yaffle."
Echon,pron.,Alt. of Echoon
Eclat,n.,Brilliancy of success or effort; splendor; brilliant show; striking effect; glory; renown.
Fable,n.,"A Feigned story or tale, intended to instruct or amuse; a fictitious narration intended to enforce some useful truth or precept; an apologue. See the Note under Apologue."
Faced,imp. & p. p.,of Face
Faser,n.,One who faces; one who puts on a false show; a bold-faced person.
Facet,n.,"A little face; a small, plane surface; as, the facets of a diamond."
Facia,n.,See Fascia.
Facto,adv.,In fact; by the act or fact.
Facta,pl. ,of Factum
Faded,imp. & p. p.,of Fade
Fader,n.,Father.
Fadge,a.,To fit; to suit; to agree.
Fadme,n.,A fathom.
Faery,n. & a.,Fairy.
Fagot,n.,"A bundle of sticks, twigs, or small branches of trees, used for fuel, for raising batteries, filling ditches, or other purposes in fortification; a fascine."
Faham,n.,"The leaves of an orchid (Angraecum fragrans), of the islands of Bourbon and Mauritius, used (in France) as a substitute for Chinese tea."
Faint,superl.,"Lacking strength; weak; languid; inclined to swoon; as, faint with fatigue, hunger, or thirst."
Fairy,n.,Enchantment; illusion.
Faith,n.,"Belief; the assent of the mind to the truth of what is declared by another, resting solely and implicitly on his authority and veracity; reliance on testimony."
Fakir,n.,An Oriental religious ascetic or begging monk.
FALSE,superl.,"Uttering falsehood; unveracious; given to deceit; dishnest; as, a false witness."
Falwe,a. & n.,Fallow.
Famed,imp. & p. p.,of Fame
Fanal,n.,"A lighthouse, or the apparatus placed in it for giving light."
Fancy,n.,The faculty by which the mind forms an image or a representation of anything perceived before;
Fanon,n.,"A term applied to various articles, as: (a) A peculiar striped scarf worn by the pope at mass, and by eastern bishops. (b) A maniple."
Farad,n.,The standard unit of electrical capacity; 
Farce,v. t.,"To stuff with forcemeat; hence, to fill with mingled ingredients; to fill full; to stuff."
Farcy,n.,"A contagious disease of horses, associated with painful ulcerating enlargements"
Fared,imp. & p. p.,of Fare
Faren,,"p. p. of Fare, v. i."
Farry,n.,A farrow.
Farse,n.,"An addition to, or a paraphrase of, some part of the Latin service in the vernacular; -- common in English before the Reformation."
Fasti,n.pl.,"The Roman calendar, which gave the days for festivals, courts, etc., corresponding to a modern almanac."
Fatal,a.,"Proceeding from, or appointed by, fate or destiny; necessary; inevitable."
Fated,p. p. & a.,"Decreed by fate; destined; doomed; as, he was fated to rule a factious people."
Fatly,adv.,Grossly; greasily.
Fatty,a.,"Containing fat, or having the qualities of fat; greasy; gross; as, a fatty substance."
Faugh,interj.,"An exclamation of contempt, disgust, or abhorrence."
Fauld,n.,The arch over the dam of a blast furnace; the tymp arch.
Faule,n.,A fall or falling band.
Fault,n.,Defect; want; lack; default.
Fauna,n.,"The animals of any given area or epoch; as, the fauna of America; fossil fauna; recent fauna."
Fauni,pl. ,of Faunus
Favas,n.,"See Favus, n., 2."
Favel,a.,Yellow; fal/ow; dun.
Favor,n.,Kind regard; propitious aspect; countenance; friendly disposition; kindness; good will.
Favus,n.,"A disease of the scalp, produced by a vegetable parasite."
Faxed,a.,Hairy.
fayed,imp. & p. p.,of Fay
Feast,n.,"A festival; a holiday; a solemn, or more commonly, a joyous, anniversary."
Feaze,v. t.,"To untwist; to unravel, as the end of a rope."
Fecal,a.,"relating to, or containing, dregs, feces, or ordeure; faecal."
Feces,n. pl.,dregs; sediment; excrement. See FAeces.
Fecks,n.,A corruption of the word faith.
Feere,n.,"A consort, husband or wife; a companion; a fere."
Feese,n.,the short run before a leap.
Feeze,v. t.,"To turn, as a screw."
Feign,v. t.,"To give a mental existence to, as to something not real or actual; to imagine; to invent; hence, to pretend; to form and relate as if true."
Feine,v. t. & i.,To feign.
Feint,a.,Feigned; counterfeit.
Feize,v. t.,"See Feeze, v. t."
Felis,n.,"A genus of carnivorous mammals, including the domestic cat, the lion, tiger, panther, and similar animals."
Felly,adv.,In a fell or cruel manner; fiercely; barbarously; savagely.
Felon,a.,A person who has committed a felony.
Femme,n.,"A woman. See Feme, n."
Femur,n.,The thigh bone.
Fence,n.,That which fends off attack or danger; a defense; a protection; a cover; security; shield.
Fenks,n.,"The refuse whale blubber, used as a manure, and in the manufacture of Prussian blue."
Fenny,a.,"Pertaining to, or inhabiting, a fen; abounding in fens; swampy; boggy."
Feoff,v. t.,To invest with a fee or feud; to give or grant a corporeal hereditament to; to enfeoff.
Ferae,n. pl.,"A group of mammals which formerly included the Carnivora, Insectivora, Marsupialia, and lemurs, but is now often restricted to the Carnivora."
Feral,a.,"Wild; untamed; ferine; not domesticated; -- said of beasts, birds, and plants."
Ferde,,imp. of Fare.
Feria,n.,"A week day, esp. a day which is neither a festival nor a fast."
Ferie,n.,A holiday.
Ferly,n.,Singular; wonderful; extraordinary.
Ferme,n.,"Rent for a farm; a farm; also, an abode; a place of residence; as, he let his land to ferm."
Ferny,a.,Abounding in ferns.
Ferre,a. & adv.,Alt. of Ferrer
Ferry,v. t.,"To carry or transport over a river, strait, or other narrow water, in a boat."
Fesse,n.,"A band drawn horizontally across the center of an escutcheon, and containing in breadth the third part of it; one of the nine honorable ordinaries."
Feste,n.,A feast.
Fetal,a.,"Pertaining to, or connected with, a fetus; as, fetal circulation; fetal membranes."
Fetch,v. t.,"To bear toward the person speaking, or the person or thing from whose point of view the action is contemplated; to go and bring; to get."
Feted,imp. & p. p.,of Fete
Fetid,a.,Having an offensive smell; stinking.
Fetis,a.,Neat; pretty; well made; graceful.
Fetor,n.,"A strong, offensive smell; stench; fetidness."
Fette,imp.,of Fette
Fetus,n.,"The young or embryo of an animal in the womb, or in the egg; often restricted to the later stages in the development of viviparous and oviparous animals, embryo being applied to the earlier stages."
Feuar,n.,One who holds a feu.
Fever,n.,"A diseased state of the system, marked by increased heat, acceleration of the pulse, and a general derangement of the functions"
Fewel,n.,Fuel.
Feyne,v. t.,To feign.
Feyre,n.,A fair or market.
Fiber,n.,Alt. of Fibre
Fibre,n.,"One of the delicate, threadlike portions of which the tissues of plants and animals are in part constituted; as, the fiber of flax or of muscle."
Fiche,a.,See FitchE.
Fichu,n.,"A light cape, usually of lace, worn by women, to cover the neck and throat, and extending to the shoulders."
Ficus,n.,"A genus of trees or shrubs, one species of which (F. Carica) produces the figs of commerce; the fig tree."
Fides,n.,Faith personified as a goddess; the goddess of faith.
Fidge,n. & i.,See Fidget.
Fidia,n.,"A genus of small beetles, of which one species (the grapevine Fidia, F. longipes) is very injurious to vines in America."
Field,n.,Cleared land; land suitable for tillage or pasture; cultivated ground; the open country.
Fiend,n.,An implacable or malicious foe; one who is diabolically wicked or cruel; an infernal being; -- applied specifically to the devil or a demon.
Fiery,a.,"Consisting of, containing, or resembling, fire; as, the fiery gulf of Etna; a fiery appearance."
Fifed,imp. & p. p.,of Fife
Fifer,n.,One who plays on a fife.
Fifth,a.,Next in order after the fourth; -- the ordinal of five.
Fifty,a.,"Five times ten; as, fifty men."
Fight,v. i.,"To strive or contend for victory, with armies or in single combat; to attempt to defeat, subdue, or destroy an enemy, either by blows or weapons; to contend in arms; -- followed by with or against."
Filar,a.,"Of or pertaining to a thread or line; characterized by threads stretched across the field of view; as, a filar microscope; a filar micrometer."
Filch,v. t.,"To steal or take privily (commonly, that which is of little value); to pilfer."
Filed,imp. & p. p.,of File
Filer,n.,One who works with a file.
Filly,n.,"A female foal or colt; a young mare.  Cf. Colt, Foal."
Filmy,a.,Composed of film or films.
Filth,n.,Foul matter; anything that soils or defiles; dirt; nastiness.
Final,a.,"Pertaining to the end or conclusion; last; terminating; ultimate; as, the final day of a school term."
Finch,n.,"A small singing bird of many genera and species, belonging to the family Fringillidae."
Found,imp. & p. p.,of Find
Findy,a.,Full; heavy; firm; solid; substemtial.
Fined,imp. & p. p.,of Fine
Finer,n.,One who fines or purifies.
Finew,n.,Moldiness.
Finis,n.,An end; conclusion. It is often placed at the end of a book.
Finns,n. pl.,Natives of Finland; Finlanders.
Finny,a.,"Having, or abounding in, fins, as fishes; pertaining to fishes."
Finos,n. pl.,Second best wool from Merino sheep.
Fiord,n.,"A narrow inlet of the sea, penetrating between high banks or rocks, as on the coasts of Norway and Alaska."
Fired,imp. & p. p.,of Fire
Fring,p. pr. & vb. n.,of Fire
Firer,n.,One who fires or sets fire to anything; an incendiary.
Firms,a.,"The principal rafters of a roof, especially a pair of rafters taken together."
Firry,a.,Made of fir; abounding in firs.
First,a.,"Preceding all others of a series or kind; the ordinal of one; earliest; as, the first day of a month; the first year of a reign."
Firth,n.,An arm of the sea; a frith.
Fishy,a.,Consisting of fish; fishlike; having the qualities or taste of fish; abounding in fish.
Fitch,n.,A vetch.
Fitly,adv.,"In a fit manner; suitably; properly; conveniently; as, a maxim fitly applied."
Fives,n. pl.,"A kind of play with a ball against a wall, resembling tennis; -- so named because three fives, or fifteen, are counted to the game."
Fixed,imp. & p. p.,of Fix
Fjord,n.,See Fiord.
Flail,n.,"An instrument for threshing or beating grain from the ear by hand, consisting of a wooden staff or handle, at the end of which a stouter and shorter pole or club, called a swipe, is so hung as to swing freely."
Flain,,p. p. of Flay.
Flake,n.,A paling; a hurdle.
Flaky,a.,"Consisting of flakes or of small, loose masses; lying, or cleaving off, in flakes or layers; flakelike."
Flame,n.,"A stream of burning vapor or gas, emitting light and heat; darting or streaming fire; a blaze; a fire."
Flamy,a.,Flaming; blazing; flamelike; flame-colored; composed of flame.
Flang,n.,A miner's two-pointed pick.
Flank,n.,"The fleshy or muscular part of the side of an animal, between the ribs and the hip. See Illust. of Beef."
Flare,v. i.,"To burn with an unsteady or waving flame; as, the candle flares."
Flash,v. i.,"To burst or break forth with a sudden and transient flood of flame and light; as, the lighting flashes vividly; the powder flashed."
Flask,n.,"A small bottle-shaped vessel for holding fluids; as, a flask of oil or wine."
Flawn,n.,A sort of flat custard or pie.
Flawy,a.,Full of flaws or cracks; broken; defective; faulty.
Flaxy,a.,Like flax; flaxen.
Fleak,n.,A flake; a thread or twist.
Fleam,n.,"A sharp instrument used for opening veins, lancing gums, etc.; a kind of lancet."
Flear,v. t. & i.,See Fleer.
Fleck,n.,"A flake; also, a lock, as of wool."
Fleen,n. pl.,Obs. pl. of Flea.
Fleer,n.,One who flees.
Fleet,n. & a.,To sail; to float.
Fleme,v. t.,To banish; to drive out; to expel.
Flesh,n.,"The aggregate of the muscles, fat, and other tissues which cover the framework of bones in man and other animals; especially, the muscles."
Flete,v. i.,To float; to swim.
Flews,n. pl.,"The pendulous or overhanging lateral parts of the upper lip of dogs, especially prominent in hounds; -- called also chaps. See Illust. of Bloodhound."
Flick,v. t.,"To whip lightly or with a quick jerk; to flap; as, to flick a horse; to flick the dirt from boots."
Flier,v.,One who flies or flees; a runaway; a fugitive.
Flung,imp. & p. p.,of Fling
Fling,v. t.,"To cast, send, to throw from the hand; to hurl; to dart; to emit with violence as if thrown from the hand; as, to fing a stone into the pond."
Flint,n.,"A massive, somewhat impure variety of quartz, in color usually of a gray to brown or nearly black, breaking with a conchoidal fracture and sharp edge. It is very hard, and strikes fire with steel."
Flipe,v. t.,"To turn inside out, or with the leg part back over the foot, as a stocking in pulling off or for putting on."
